HR,respr,Time(sec),Label
118.0,12.12769270141658,1644227583.0,0
113.5,12.12769270141658,1644227584.0,0
93.0,12.12769270141658,1644227585.0,0
93.25,12.12769270141658,1644227586.0,0
86.4,12.12769270141658,1644227587.0,0
81.83,12.12769270141658,1644227588.0,0
79.71,12.12769270141658,1644227589.0,0
78.12,12.12769270141658,1644227590.0,0
76.67,12.12769270141658,1644227591.0,0
75.6,12.12769270141658,1644227592.0,0
74.82,12.12769270141658,1644227593.0,0
74.17,12.12769270141658,1644227594.0,0
73.46,12.12769270141658,1644227595.0,0
72.21,12.12769270141658,1644227596.0,0
71.13,12.12769270141658,1644227597.0,0
70.19,12.12769270141658,1644227598.0,0
69.29,12.12769270141658,1644227599.0,0
69.44,12.12769270141658,1644227600.0,0
69.53,12.12769270141658,1644227601.0,0
69.65,12.12769270141658,1644227602.0,0
69.62,12.12769270141658,1644227603.0,0
69.59,12.12769270141658,1644227604.0,0
69.57,12.12769270141658,1644227605.0,0
69.54,12.12769270141658,1644227606.0,0
69.48,12.12769270141658,1644227607.0,0
69.46,12.12769270141658,1644227608.0,0
69.44,12.12769270141658,1644227609.0,0
69.43,12.12769270141658,1644227610.0,0
69.45,12.12769270141658,1644227611.0,0
69.47,12.12769270141658,1644227612.0,0
69.48,12.12769270141658,1644227613.0,0
69.5,12.12769270141658,1644227614.0,0
69.55,12.12769270141658,1644227615.0,0
69.56,12.12769270141658,1644227616.0,0
69.57,12.12769270141658,1644227617.0,0
69.61,12.12769270141658,1644227618.0,0
69.57,12.12769270141658,1644227619.0,0
69.47,12.12769270141658,1644227620.0,0
69.41,12.12769270141658,1644227621.0,0
69.3,12.12769270141658,1644227622.0,0
69.2,12.12769270141658,1644227623.0,0
69.07,12.12769270141658,1644227624.0,0
69.56,12.12769270141658,1644227625.0,0
70.02,12.12769270141658,1644227626.0,0
70.47,12.12769270141658,1644227627.0,0
70.89,12.12769270141658,1644227628.0,0
71.28,12.12769270141658,1644227629.0,0
71.58,12.12769270141658,1644227630.0,0
71.88,12.12769270141658,1644227631.0,0
72.18,12.12769270141658,1644227632.0,0
72.41,12.12769270141658,1644227633.0,0
72.63,12.12769270141658,1644227634.0,0
72.85,12.12769270141658,1644227635.0,0
72.94,12.12769270141658,1644227636.0,0
73.05,12.12769270141658,1644227637.0,0
73.14,12.12769270141658,1644227638.0,0
73.23,12.12769270141658,1644227639.0,0
73.29,12.12769270141658,1644227640.0,0
73.34,12.12769270141658,1644227641.0,0
73.37,12.12769270141658,1644227642.0,0
72.62,12.12769270141658,1644227643.0,0
71.98,12.12769270141658,1644227644.0,0
72.3,12.12769270141658,1644227645.0,0
71.87,12.12769270141658,1644227646.0,0
72.03,12.12769270141658,1644227647.0,0
72.23,12.12769270141658,1644227648.0,0
72.28,12.12769270141658,1644227649.0,0
72.38,12.12769270141658,1644227650.0,0
72.48,12.12769270141658,1644227651.0,0
72.52,12.12769270141658,1644227652.0,0
72.5,12.12769270141658,1644227653.0,0
72.37,12.12769270141658,1644227654.0,0
72.35,12.12769270141658,1644227655.0,0
72.42,12.12769270141658,1644227656.0,0
72.52,12.12769270141658,1644227657.0,0
72.6,12.12769270141658,1644227658.0,0
72.7,12.12769270141658,1644227659.0,0
72.48,12.12769270141658,1644227660.0,0
72.28,12.12769270141658,1644227661.0,0
71.95,12.12769270141658,1644227662.0,0
71.7,12.12769270141658,1644227663.0,0
71.43,12.12769270141658,1644227664.0,0
71.1,12.12769270141658,1644227665.0,0
70.93,12.12769270141658,1644227666.0,0
70.8,12.12769270141658,1644227667.0,0
70.65,12.12769270141658,1644227668.0,0
70.5,12.12769270141658,1644227669.0,0
70.35,12.12769270141658,1644227670.0,0
70.28,12.12769270141658,1644227671.0,0
70.22,12.12769270141658,1644227672.0,0
70.25,12.12769270141658,1644227673.0,0
70.27,12.12769270141658,1644227674.0,0
70.27,12.12769270141658,1644227675.0,0
70.28,12.12769270141658,1644227676.0,0
70.32,12.12769270141658,1644227677.0,0
70.38,12.12769270141658,1644227678.0,0
70.47,12.12769270141658,1644227679.0,0
70.6,12.12769270141658,1644227680.0,0
70.7,12.12769270141658,1644227681.0,0
70.82,11.342776334776335,1644227682.0,0
70.95,11.547303301758747,1644227683.0,0
71.03,11.747819936055231,1644227684.0,0
70.63,11.882307121142071,1644227685.0,0
70.22,12.014208014208013,1644227686.0,0
69.78,12.204548890263176,1644227687.0,0
69.35,12.089411636581447,1644227688.0,0
68.95,11.976426481099375,1644227689.0,0
68.63,11.86553364331142,1644227690.0,0
68.3,11.75667553649205,1644227691.0,0
68.2,11.649796667978483,1644227692.0,0
68.08,11.544843544843545,1644227693.0,0
67.98,11.441764584621726,1644227694.0,0
67.83,11.340510030775516,1644227695.0,0
67.78,11.24103187261082,1644227696.0,0
67.72,11.328791015747536,1644227697.0,0
67.67,11.50699109319799,1644227698.0,0
67.63,11.68214501547835,1644227699.0,0
67.6,11.583143786533618,1644227700.0,0
67.58,11.485806443789638,1644227701.0,0
67.62,11.39009139009139,1644227702.0,0
67.73,11.29595840339642,1644227703.0,0
67.87,11.20336858041776,1644227704.0,0
68.05,11.11228428301599,1644227705.0,0
68.27,11.022669087185216,1644227706.0,0
68.43,11.048265512265512,1644227707.0,0
68.58,10.96058086534277,1644227708.0,0
68.75,10.874277079001487,1644227709.0,0
68.82,10.78932178932179,1644227710.0,0
68.88,10.95374565142007,1644227711.0,0
68.98,11.01014541014541,1644227712.0,0
69.05,11.08894837139112,1644227713.0,0
69.25,11.247365429183612,1644227714.0,0
69.3,11.355279974828846,1644227715.0,0
69.38,11.509345049643557,1644227716.0,0
69.43,11.661127678905457,1644227717.0,0
69.5,11.575384093031152,1644227718.0,0
69.55,11.490892238337494,1644227719.0,0
69.62,11.407624903277076,1644227720.0,0
69.7,11.325555659368607,1644227721.0,0
69.9,11.24465883323026,1644227722.0,0
70.1,11.164909479803097,1644227723.0,0
70.3,11.086283356705891,1644227724.0,0
70.58,11.09826738917648,1644227725.0,0
70.7,11.021196087862757,1644227726.0,0
70.8,10.945187838980942,1644227727.0,0
70.9,10.870220798987924,1644227728.0,0
71.02,10.796273718722698,1644227729.0,0
71.13,10.723325923325923,1644227730.0,0
71.18,10.651357292968031,1644227731.0,0
71.18,10.793681577681577,1644227732.0,0
71.15,10.891736666571104,1644227733.0,0
71.12,10.988501556922609,1644227734.0,0
71.07,11.125831612106122,1644227735.0,0
71.02,11.192114090815387,1644227736.0,0
70.97,11.28506819345529,1644227737.0,0
70.78,11.32994412994413,1644227738.0,0
70.67,11.37424839845222,1644227739.0,0
70.57,11.302259484537965,1644227740.0,0
70.47,11.231176091553449,1644227741.0,0
70.38,11.320981240981242,1644227742.0,0
70.33,11.25066458731055,1644227743.0,0
70.4,11.1812160404753,1644227744.0,0
70.52,11.11261962304907,1644227745.0,0
70.67,11.044859747298773,1644227746.0,0
70.8,10.977921203375749,1644227747.0,0
70.93,11.066006015403604,1644227748.0,0
71.03,11.1913592727964,1644227749.0,0
71.02,11.124744039029752,1644227750.0,0
71.02,11.058917151224843,1644227751.0,0
70.77,10.993864697394107,1644227752.0,0
70.62,10.9295730909766,1644227753.0,0
70.53,10.8660290613779,1644227754.0,0
70.48,10.803219644838142,1644227755.0,0
70.37,10.741132175614934,1644227756.0,0
70.28,10.75289713461142,1644227757.0,0
70.13,10.691801128164764,1644227758.0,0
69.98,10.711747010052097,1644227759.0,0
69.85,10.65156865606304,1644227760.0,0
69.7,10.592062685917435,1644227761.0,0
69.52,10.533217893217891,1644227762.0,0
69.28,10.651818899332712,1644227763.0,0
69.1,10.59329242186385,1644227764.0,0
68.92,10.535405578028527,1644227765.0,0
68.78,10.478147939017504,1644227766.0,0
68.68,10.594482274482274,1644227767.0,0
68.53,10.537522692361405,1644227768.0,0
68.42,10.618070699354124,1644227769.0,0
68.37,10.697761812655427,1644227770.0,0
68.37,10.776609633752493,1644227771.0,0
68.37,10.854627477785373,1644227772.0,0
68.45,10.909489812107614,1644227773.0,0
68.52,10.986002886002886,1644227774.0,0
68.67,11.094883700065049,1644227775.0,0
68.83,11.037693577899764,1644227776.0,0
69.0,11.090491730491731,1644227777.0,0
69.15,11.19717289513208,1644227778.0,0
69.3,11.14033445404004,1644227779.0,0
69.45,11.084070138615594,1644227780.0,0
69.52,11.028371293697928,1644227781.0,0
69.58,10.973229437229438,1644227782.0,0
69.58,11.045999440029291,1644227783.0,0
69.68,11.14973211606875,1644227784.0,0
69.7,11.094807327319645,1644227785.0,0
69.65,11.040421016891605,1644227786.0,0
69.57,10.986565304614086,1644227787.0,0
69.52,10.933232463329553,1644227788.0,0
69.42,10.880414915197523,1644227789.0,0
69.32,10.981951381951385,1644227790.0,0
69.17,10.92940616002817,1644227791.0,0
69.08,10.87736136878994,1644227792.0,0
69.28,10.825809893108472,1644227793.0,0
69.48,10.82963325982194,1644227794.0,0
69.7,10.778789911184278,1644227795.0,0
69.93,10.782797265040257,1644227796.0,0
70.15,10.732644719621463,1644227797.0,0
70.45,10.682956549623215,1644227798.0,0
70.73,10.633726335108824,1644227799.0,0
70.93,10.584947773938598,1644227800.0,0
71.17,10.536614679080431,1644227801.0,0
71.4,10.488720975993704,1644227802.0,0
71.6,10.441260700084229,1644227803.0,0
71.77,10.394227994227991,1644227804.0,0
71.95,10.3476171063615,1644227805.0,0
72.17,10.301422387136672,1644227806.0,0
72.38,10.255638287638288,1644227807.0,0
72.58,10.21025935716201,1644227808.0,0
72.78,10.165280241051166,1644227809.0,0
73.12,10.120695678590415,1644227810.0,0
73.43,10.07650050095465,1644227811.0,0
73.75,10.032689629211369,1644227812.0,0
74.03,10.044669327786211,1644227813.0,0
74.38,10.001373339304374,1644227814.0,0
74.77,9.958448990208646,1644227815.0,0
75.25,9.97667024333691,1644227816.0,0
75.7,9.934216327407816,1644227817.0,0
76.25,9.892122190427274,1644227818.0,0
76.78,9.85038327823138,1644227819.0,0
77.33,9.808995113196794,1644227820.0,0
77.92,9.767953292639485,1644227821.0,0
78.47,9.727253487253488,1644227822.0,0
79.0,9.819671522576089,1644227823.0,0
79.45,9.911325772482796,1644227824.0,0
79.82,9.870538423624843,1644227825.0,0
80.17,9.830085397298513,1644227826.0,0
80.53,9.789962599758518,1644227827.0,0
80.95,9.880247304637548,1644227828.0,0
81.33,9.943890028100554,1644227829.0,0
81.67,10.0328259554066,1644227830.0,0
81.98,10.095344726670026,1644227831.0,0
82.28,10.182963347763346,1644227832.0,0
82.48,10.244385804545168,1644227833.0,0
82.7,10.2762958382006,1644227834.0,0
82.93,10.298919174808503,1644227835.0,0
83.18,10.33036325004829,1644227836.0,0
83.42,10.373512152335682,1644227837.0,0
83.68,10.416323953823952,1644227838.0,0
83.95,10.37579351042386,1644227839.0,0
